Monthlu Sales Trend,,,,Sales By  Ragion,,,,Sales by Category and Sub-Category,,,,Sales by Ship Mode,,,,Top 10 Products by Sales,
,,,,,,,,,,,,,,,,,
Pivot Table Starts here,,,,,,,,,,,,,,,,Row Labels,Sum of Sales
Row Labels,Sum of Sales,,,Row Labels,Sum of Sales,,,Row Labels,Sum of Sales,,,Row Labels,Sum of Sales,,,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","? 18,374.90"
2015,"? 4,79,856.21",,,West,"? 7,10,219.68",,,Technology,"? 8,27,455.87",,,Standard Class,"? 13,40,831.31",,,HON 5400 Series Task Chairs for Big and Tall,"? 21,870.58"
2016,"? 4,59,436.01",,,East,"? 6,69,518.73",,,Office Supplies,"? 7,05,422.33",,,Second Class,"? 4,49,914.18",,,High Speed Automatic Electric Letter Opener,"? 17,030.31"
2017,"? 6,00,192.55",,,Central,"? 4,92,646.91",,,Furniture,"? 7,28,658.58",,,First Class,"? 3,45,572.26",,,Hewlett Packard LaserJet 3310 Copier,"? 18,839.69"
2018,"? 7,22,052.02",,,South,"? 3,89,151.46",,,Grand Total,"? 22,61,536.78",,,Same Day,"? 1,25,219.04",,,GBC Ibimaster 500 Manual ProClick Binding System,"? 19,024.50"
Grand Total,"? 22,61,536.78",,,Grand Total,"? 22,61,536.78",,,,,,,Grand Total,"? 22,61,536.78",,,GBC DocuBind TL300 Electric Binding System,"? 19,823.48"
,,,,,,,,,,,,,,,,GBC DocuBind P400 Electric Binding System,"? 17,965.07"
,,,,,,,,,,,,,,,,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,"? 27,453.38"
,,,,,,,,,,,,,,,,Cisco TelePresence System EX90 Videoconferencing Unit,"? 22,638.48"
,,,Sales by Customer Segment,,,,,,,,,,,,,Canon imageCLASS 2200 Advanced Copier,"? 61,599.82"
,,,,,,,,,,,,,,,,Grand Total,"? 2,44,620.20"
,,,,,,,,,,,,,,,,,
,,,Row Labels,Sum of Sales,,,,,,,,,,,,,
,,,Consumer,"? 11,48,060.53",,,,,,,,,,,,,
,,,Corporate,"? 6,88,494.07",,,,,,,,,,,,,
,,,Home Office,"? 4,24,982.18",,,,,,,,,,,,,
,,,Grand Total,"? 22,61,536.78",,,,,,,,,,,,,
